o_p_q_r_s_t_u_v_w_x_y_z_{_|_}_~_
PanelText_UI_Alchemy_Popup_ResolveMaterials_Optimize_Text_C_Null_Content|请选择要分解的物品
PanelText_UI_Awaker_Item_Topped_Detail_Text_C_Title_Content|升格条件<WordSize20:（任选其一）>
PanelText_UI_Common_Popup_Tips_Small_Text_C_Scroll_Tips_Content|上下滑动可查看更多奖励
PanelText_UI_Recharge_Panel_Main_Optimized_Text_C_Tips_Content|*累计可获得300银芯结晶+3000银芯
PanelText_UI_Alchemy_Popup_ResolveWeapon_Optimize_Text_C_Cap_Content|已强化至当前等级上限
PanelText_UI_Team_Panel_Weapon_Equip_Text_C_Hint_Content|*同个唤醒体只能装备一个SSR命轮
PanelText_UI_Alchemy_Popup_ResolveMaterials_Optimize_Text_C_NormotopiaCap_Content|正位已达上限
PanelText_UI_Alchemy_Popup_ResolveWeapon_Optimize_Text_C_NormotopiaCap_Content|正位已达上限
PanelText_UI_Social_Item_Data_Overview_Left_Text_C_Privacy_Content|守密人已设置调查状况为隐私
PanelText_UI_Recharge_OnekeyPurchase_Text_C_Tips_Content|可以选择移除无需购买的物品
PanelText_UI_Passport_Money_Item_New_Text_C_Privilege_Content|·本期课题持续期间拥有特权
PanelText_UI_Alchemy_Popup_ResolveMaterials_Optimize_Text_C_Cap_Content|已强化至当前等级上限
PanelText_UI_Awaker_Popup_Expired_Tip_Text_C_Expired_Content|以下物品已过期，将无法使用
PanelText_UI_Events_Panel_TeamSchool_Text_C_Tip_Content|每天开放不同的校猫关卡，挑战成功可获得丰富奖励！
PanelText_UI_Awaker_Item_Weapon_Strengthen2_Text_C_BackTraceTip_Content|使用「叠位回溯」后，无法再进行「黑池归还」。
PanelText_UI_Events_Panel_Lake_City_Text_C_Describe_Content|你目睹的不只是灵魂的选择，更是它飘忽摇摆的人生。
PanelText_UI_Battle_Popup_RebirthTip_Text_C_Tips_Content|（兑换后将直接消耗并且复活，若撤退则会返还应急灵知体）
PanelText_UI_InvitationCode_Popup_Main_Text_C_Desc_Content|复制邀请码，引领无限宇宙中的灵魂共赴融蚀之旅。
PanelText_UI_Awaker_Item_Preview_Text_C_TipDesc_Content|「养成回溯」或「启灵回溯」后，无法再进行「黑池归还」
PanelText_UI_Summon_Popup_Main_Text_C_Prompt_Content|可在本页面查询近6个月的唤醒记录，数据可能有1小时左右延误。
PanelText_UI_InvitationCode_Popup_Main_Text_C_BindingTip_Content|绑定引路守密人，在无数银钥闪烁的宇宙中，你并不寂寞。
PanelText_UI_Login_Text_C_Plot_Content|Avg剧情测试
PanelText_UI_Battle_Panel_Dbg_Text_C_End_EN_No_Content|结束
PanelText_UI_Common_Btn_Back1_Text_C_Name_Content|Exit
PanelText_UI_Main_Panel_1_Text_C_Dbg_Content|幕间演习
PanelText_UI_Common_Btn_Back2_Text_C_Name_Content|Exit
PanelText_UI_Common_Btn_Back3_Text_C_Name_Content|Exit
PanelText_UI_Common_Item_Btn_Back_1_Text_C_Name_Content|Exit
PanelText_UI_Common_Item_Tip_Bg_Text_C_Name_Content|排序
PanelText_UI_Main_Panel_1_Text_C_Shop_EN_Content|Assignments
PanelText_UI_Common_Item_Tip_Bg_Text_C_Label_Content|Sort.
PanelText_UI_Login_Text_C_Fight_Content|战斗2.0
PanelText_UI_Main_Panel_1_Text_C_Awaker_EN_Content|Awakers
PanelText_UI_Main_Panel_1_Text_C_Store_Content|商店
PanelText_UI_Main_Panel_1_Text_C_Mission_EN_Content|Task
PanelText_UI_Main_Panel_1_Text_C_Awaker_Content|唤醒体
PanelText_UI_Main_Panel_1_Text_C_Store_EN_Content|Shop
PanelText_UI_Main_Panel_1_Text_C_Shop_Content|课题纪录
PanelText_UI_Main_Panel_1_Text_C_Bag_EN_Content|Inventory
PanelText_UI_Login_Text_C_Enter_Content|进入大学
PanelText_UI_Main_Panel_1_Text_C_Recruit_EN_Content|Awake
PanelText_UI_Main_Panel_1_Text_C_Bag_Content|物资
PanelText_UI_Battle_Popup_Settle_Text_C_Victory_Content|Victory
PanelText_UI_Main_Panel_1_Text_C_Mission_Content|手册
PanelText_UI_Awaker_Item_Story_Text_C_Bg_Content|Information
PanelText_UI_Bag_Helicopter_Tips_Text_C_Skill_Content|技能
PanelText_UI_Chapter_Panel_Main2_Text_C_Title_Content|调查
PanelText_UI_Main_Panel_1_Text_C_Home_Content|派遣
PanelText_UI_Main_Panel_1_Text_C_Recruit_Content|唤醒
PanelText_UI_Main_Panel_1_Text_C_Dbg_EN_Content|Dream Trial
Summon_14148_LongDesc2|<Title:【SSR物品】>
Summon_78013_LongDesc2|<Title:【SSR物品】>
Summon_14146_LongDesc2|<Title:【SSR物品】>
Summon_14133_LongDesc2|<Title:【SSR物品】>
Summon_14145_LongDesc2|<Title:【SSR物品】>
Summon_54157_LongDesc2|<Title:【SSR物品】>
Summon_78023_LongDesc2|<Title:【SSR物品】>
Summon_14149_LongDesc2|<Title:【SSR物品】>
Summon_14134_LongDesc2|<Title:【SSR物品】>
Summon_78024_LongDesc2|<Title:【SSR物品】>
Summon_14147_LongDesc2|<Title:【SSR物品】>
Summon_54155_LongDesc2|<Title:【SSR物品】>
Summon_130228_LongDesc2|<Title:【SSR物品】>
Summon_78019_LongDesc2|<Title:【SSR物品】>
Summon_94429_LongDesc2|<Title:【SSR物品】>
Summon_78020_LongDesc2|<Title:【SSR物品】>
Summon_130360_LongDesc2|<Title:【SSR物品】>
Summon_78018_LongDesc2|<Title:【SSR物品】>
Summon_78016_LongDesc2|<Title:【SSR物品】>
Summon_78017_LongDesc2|<Title:【SSR物品】>
Summon_78015_LongDesc2|<Title:【SSR物品】>
Summon_78021_LongDesc2|<Title:【SSR物品】>
Summon_98330_LongDesc1|【<SummonOrange:花园余墨>】限时命轮活动唤醒已开启。活动期间，守密人可从中唤醒限时活动UP命轮<SummonOrange:诗笺的句尾>。
Summon_78812_LongDesc1|【<SummonOrange:临时文本>】限时命轮活动唤醒已开启。活动期间，守密人可从中唤醒限时活动UP命轮<SummonOrange:本源深海淑女专武>。
Summon_117765_LongDesc1|【<SummonOrange:跨越银扉>】限时命轮活动唤醒已开启。活动期间，守密人可从中唤醒限时活动UP命轮<SummonOrange:隐世的转轮>。
Summon_119661_LongDesc1|【<SummonOrange:存续之理>】限时命轮活动唤醒已开启。活动期间，守密人可从中唤醒限时活动UP命轮<SummonOrange:慈悲的哺育>。
Summon_97304_LongDesc1|【<SummonOrange:纵声飨宴>】限时命轮活动唤醒已开启。活动期间，守密人可从中唤醒限时活动UP命轮<SummonOrange:女王的戒律>。
Summon_98325_LongDesc1|【<SummonOrange:亵渎乐章>】限时命轮活动唤醒已开启。活动期间，守密人可从中唤醒限时活动UP命轮<SummonOrange:永恒安魂曲>。
Summon_97302_LongDesc1|【<SummonOrange:神国谕令>】限时命轮活动唤醒已开启。活动期间，守密人可从中唤醒限时活动UP命轮<SummonOrange:虔诚的伟力>。
Summon_117767_LongDesc1|【<SummonOrange:虚幻荣宠>】限时命轮活动唤醒已开启。活动期间，守密人可从中唤醒限时活动UP命轮<SummonOrange:隐秘的诞生>。
Summon_124978_LongDesc1|【<SummonOrange:红雨倾盆>】限时命轮活动唤醒已开启。活动期间，守密人可从中唤醒限时活动UP命轮<SummonOrange:沉入殷红>。
Summon_117766_LongDesc1|【<SummonOrange:欲血横流>】限时命轮活动唤醒已开启。活动期间，守密人可从中唤醒限时活动UP命轮<SummonOrange:以蔷薇之名>。
Summon_97301_LongDesc1|【<SummonOrange:存续之理>】限时命轮活动唤醒已开启。活动期间，守密人可从中唤醒限时活动UP命轮<SummonOrange:慈悲的哺育>。
Summon_117761_LongDesc1|【<SummonOrange:顽心如石>】限时命轮活动唤醒已开启。活动期间，守密人可从中唤醒限时活动UP命轮<SummonOrange:不可承受的自由>。
PanelText_UI_Research_Panel_Dispatch_Content_Text_C_Special2_Content|派遣总等级每超出20级，可获得1份额外奖励
PanelText_UI_Social_Panel_HelpList_Text_C_NoTask_Content|暂无契合的助战唤醒体，建议调整「筛选唤醒体」
PanelText_UI_Recharge_Panel_Main_Text_C_Buttom_Tips_Content|每档首充额外赠送等量「源液」，仅限一次
PanelText_UI_Main_Helicopter_Tips_Text_C_Tip_Content|邀请唤醒体后，每隔一段时间该唤醒体可获得同调率
PanelText_UI_Recharge_Panel_Extract_Text_C_Buttom_Content|每档首充额外赠送等额「银芯」，仅限一次
PanelText_UI_Events_Panel_Thais_Text_C_Homology_Content|活动期间通过所有方式获取的同调率翻倍！
PanelText_UI_Events_Panel_Murphy_StageGroup_Text_C_Introduction_Content|自祂@1黑暗的@2中，伟大的@3降临世界
PanelText_UI_Awaker_Popup_Exchange_Tip_Text_Tip_Content|当前所需材料不足，是否消耗以下材料进行补全？
PanelText_UI_Events_Panel_Thais_StageGroup_Text_C_Describe_Content|时间流转往复，凋零的花再度盛开。
PanelText_UI_Research_Popup_Recall_Text_C_Special2_Content|派遣总等级每超出20级，可获得1份额外奖励
PanelText_UI_Awaker_Item_Origin_Tip_Text_C_Consume_Content|解锁本源形态需要消耗以下道具，是否确认？
PanelText_UI_Social_Panel_HelpList_Text_C_Time_Content|可使用与你互相关注守密人的助战唤醒体出战
PanelText_UI_Pvp_Popup_Tips_Text_C_Hint_Content|本周获胜一场即可在下周一9点(GMT+8)获得结算奖励。
PanelText_UI_Events_Panel_Sorel_Text_C_Homology_Content|活动期间通过所有方式获取的同调率翻倍！
PanelText_UI_Events_Panel_Horla_StageGroup_Text_C_Introduction_Content|残败花房里囚禁着孤独的玫瑰。
PanelText_UI_Events_Panel_Murphy_Text_C_Homology_Content|活动期间通过所有方式获取的同调率翻倍！
PanelText_UI_Events_Panel_Ryker_Text_C_Homology_Content|活动期间通过所有方式获取的同调率翻倍！
PanelText_UI_Collection_Panel_SetMainBg_Text_C_HideAwaker_Content|设置此图为宿舍背景后，来客立绘将隐藏
PanelText_UI_Passport_Money_Item_New_Text_C_Hoist_Content|立即提升<color=#5EF2FF><size=32>10</size>级</color>课题等级
PanelText_UI_Mail_Text_C_Title_Content|信箱
PanelText_Icon_Common_Text_C_New_Content|新
PanelText_GmEntryPanel_Text_C_Gm_Content|GM
PanelText_UI_Mail_Text_C_Mail_Content|邮件数
PanelText_UI_Mail_Text_C_Name_Content|领取
PanelText_GmPanel_Text_C_Gb_Content|关闭
PanelText_UI_Login_Text_C_Deal_Content|协议
PanelText_UI_Login_Text_C_Repair_Content|修复
PanelText_Com_RedDot_Text_C_New_Content|新
PanelText_UI_Login_Text_C_Sweep_Content|扫码
PanelText_UI_Login_Text_C_Quit_Content|退出
PanelText_Com_Text_New_Text_C_New_Content|新
PanelText_UI_Login_Text_C_Set_Content|设置
PanelText_UI_Login_Text_C_Enter2_Content|Enter
PanelText_Btn_Get_Text_Name_Content|领取
PanelText_UI_Mail_Text_C_Time_Content|时间：
PanelText_Simple_List_Panel_Text_Content|关闭
PanelText_UI_Mail_Text_C_En_Content|fdshsjfgjgf
PanelText__Text_C_Dress_Content|换装
PanelText__Text_C_Goto_Content|前往购买
PanelText__Text_C_Have_Content|已拥有
PanelText__Text_C_Empty_Content|已下架
PanelText__Text_C_Dressing_Content|着装中
PanelText__Text_C_Reveal_Content|隐藏
PanelText_UI_Social_Panel_Data_Text_C_Difficulty_Content|困难
PanelText_UI_Main_Panel_1_Text_C_Lever_Content|/
PanelText_UI_Team_Popup_Prop_Award_Text_C_Name04_Content|超维
PanelText_UI_Team_Popup_Prop_Award_Text_C_Name01_Content|混沌
PanelText_UI_Social_Panel_Main_Text_C_Concern_Content|新增
PanelText_UI_Main_Panel_1_Text_C_Daily_Content|每日试训
PanelText_UI_Social_Popup_Birthday_Text_C_Day_Content|日
PanelText_UI_Events_Item_Optional_Text_C_Have_Content|已拥有
PanelText_UI_Mail_Text_C_Delete01_Content|删除
PanelText_UI_Social_Panel_Data_Text_C_Fans_Content|追随者
PanelText_UI_Summon_Popup_Share_Text_C_Title_Content|UID:
PanelText_UI_Social_Panel_Data_Text_C_Concern2_Content|关注
PanelText_UI_Events_Stage_Tip_Text_C_Title_Content|调查奖励
PanelText_UI_Pvp_Panel_Settlement_Text_C_Enemy_Content|敌方
PanelText_UI_Pvp_Team_Main_Text_C_Title_Content|预组编队
PanelText_UI_Alchemy_Popup_Suit_Item1_Text_C_Not_Content|无
PanelText_UI_Team_Panel_Main_Text_C_Tips_Content|解除助战
PanelText_UI_Mail_Text_C_NoTask1_Content|暂无信件
PanelText_UI_Pvp_Panel_Out_Text_C_Show_Content|下一步
PanelText_UI_Passport_Reward_Item_Text_C_Full_Content|已满级
PanelText_UI_Pocket_Mail_Text_C_Del_Content|删除
PanelText_UI_Main_Daily_Tips_Text_C_Daily_Content|每日试训
PanelText_UI_Team_Panel_Main_Text_C_Tips2_Content|队伍信息
PanelText_UI_Team_Popup_Prop_Award_Text_C_Name02_Content|深海
PanelText_UI_Pvp_Panel_Settlement_Text_C_Ourside_Content|我方
PanelText_UI_Dbgcopy_Panel_Action_Text_C_Spend_Content|花费
PanelText_UI_Alchemy_Popup_Suit_Item1_Text_C_Have_Content|有
PanelText_UI_Guide_ChangeName_Text_C_Confim_Nor_Content|签名
PanelText_UI_Pocket_Mail_Text_C_Time_Content|时间：
PanelText_UI_Main_Daily_Tips_Text_C_Reward_Content|完成奖励
PanelText_UI_Social_Panel_Data_Text_C_Lv_1_Content|Lv.
PanelText_UI_Social_Popup_Birthday_Text_C_Month_Content|月
PanelText_UI_Events_Item_Stage_Text_C_Undone_Content|未完成
PanelText_UI_Main_Panel_1_Text_C_Full_Content|已完成
PanelText_UI_Research_Popup_Recall2_Text_Close_Content|关闭
PanelText_UI_Social_Panel_Data_Text_C_Birthday_Content|生日
PanelText_UI_Social_Panel_Data_Text_C_Lv_2_Content|Lv.
PanelText_UI_Summon_Panel_Share_Role1_Text_C_Title_Content|UID:
PanelText_UI_Passport_Task_Item_Text_C_Full_Content|已满级
PanelText_UI_Social_Panel_Data_Text_C_Concern_Content|UID
PanelText_UI_Guide_ChangeName_Text_C_Confim_Dis_Content|签名
PanelText_UI_Pvp_Panel_Settlement_Text_C_Outcome_Content|胜利
PanelText_UI_Keeper_Skill_Panel_Text_C_Title_Content|钥令
PanelText_UI_Awaker_Popup_Topped_Tip2_Text_Name_Content|领取
PanelText_UI_Battle_Popup_Fail_Text_C_Failure_Content|Failure
PanelText_UI_Summon_Popup_Detail_Tip_Text_C_Type_Content|类型
PanelText_UI_Team_Panel_Main_Text_C_Activated_Content|已激活
PanelText_UI_Summon_Panel_Share_Role2_Text_C_Title_Content|UID:
PanelText_UI_Main_Daily_Tips_Text_C_Receive_Content|已领取
PanelText_UI_Team_Popup_Prop_Award_Text_C_Name03_Content|血肉
PanelText_UI_Team_Panel_Main_Text_C_Name_2_Content|助战
PanelText_UI_Summon_Item_Probability_Text_C_Type_Content|类型
PanelText_UI_Common_Popup_Tips_Confirm_S_Text_C_Day_Content|日
PanelText_UI_Pvp_Team_Main_Text_C_Name_10_Content|装备命轮
PanelText_UI_Team_Panel_Main_Text_C_Name_1_Content|解除
PanelText_UI_Awaker_Item_Info_Text_C_Name2_Content|Style .
PanelText_UI_Awaker_Item_Info_Text_C_Score_Content|Score .
PanelText_UI_Team_Panel_Main_Text_C_Frequency_Content|次数
PanelText_UI_Event_Panel_Challenge_Text_C_Record_Content|挑战
PanelText_UI_Summon_Item_Probability_Text_C_Name_Content|名称
PanelText_UI_Event_Reward_Item_Text_C_Receive_Content|领取
PanelText_UI_Event_Reward_Item_Text_C_Not_Content|未完成
PanelText_UI_Login_Text_C_User_Content|用户中心
PanelText_UI_Battle_ShenHai_Switch_Text_C_Name_Content|战斗
PanelText_UI_Events_Popup_Optional_Text_C_Name_2_Content|领取
PanelText_UI_Passport_Panel_Main_Text_C_Title_Content|课题
PanelText_UI_Pvp_Panel_Match_Text_C_Win_Content|匹配成功
PanelText_UI_Pvp_Team_Main_Text_C_Name_8_Content|装备命轮
PanelText_UI_Pvp_Team_Main_Text_C_Name_6_Content|装备钥令
PanelText_UI_Dungeous_Panel_Molten_Text_C_Name_Content|重置
PanelText_UI_Social_Item_Avatar_Text_C_Lv_Content|Lv.
PanelText_UI_Battle_Popup_Furnace_Text_C_Name_1_Content|取消
PanelText_UI_Battle_Popup_Furnace_Text_C_Name_2_Content|确认
PanelText_UI_Events_Panel_MagicStory_Text_C_Diagonal_Content|/
PanelText_UI_Chapter_Panel_Spur_Text_C_Simple_01_Content|普通
PanelText_UI_Summon_Item_Probability_Text_C_Time_Content|名称
PanelText_Panel_Gm_Battle_Art_Entry_Text_C_Canel_Content|取消
PanelText_UI_Battle_Panel_Dbg_Text_C_Count_Content|融灾黑潮
PanelText_UI_Team_Panel_Main_Text_C_Tips_2_Content|助战
PanelText_UI_Pvp_Team_Main_Text_C_Name_1_Content|装备钥令
PanelText_UI_Awaker_Item_Skill_Training_Text_C_Or_2_Content|/
PanelText_UI_Awaker_Popup_Topped_Tip2_Text_C_Now_Content|当前
PanelText_UI_Awaker_Item_Skill_Training_Text_C_Or_Content|/
PanelText_UI_Pvp_Team_Main_Text_C_Name_9_Content|装备命轮
PanelText_UI_Summon_Popup_Detail_Tip_Text_C_Name_Content|名称
PanelText_UI_Social_Item_Data_Right_Text_C_Concern_Content|UID
PanelText_UI_Social_Panel_HelpList_Item_Text_C_Lv_Content|Lv.
PanelText_UI_Team_Panel_Main_Text_C_Tips_1_Content|助战
PanelText_UI_Awaker_Item_Skill_Training_Text_C_Or_1_Content|/
PanelText_UI_Main_Helicopter_Tips_Text_Name_2_Content|取消
PanelText_UI_Main_Helicopter_Tips_Text_Name_1_Content|更换
PanelText_UI_Social_Item_Data_Left_Text_C_Lv_2_Content|Lv.
PanelText_UI_Social_Item_Data_Right_Text_C_Lv_1_Content|Lv.
PanelText_UI_Pvp_Team_Main_Text_C_Name_7_Content|装备命轮
PanelText_UI_Team_Item_Weapon_Full_Text_C_Not_Content|未生效
PanelText_Panel_Gm_Battle_Dbg_Entry_Text_C_Enter_Content|挑战
PanelText_UI_Main_Panel_1_Text_C_Formation_Content|编队
PanelText_UI_Story_Portrait_Test_Text_C_Horizontal_Content|3
PanelText_UI_Story_Portrait_Test_Text_C_Close_Content|关闭
PanelText_Popup_Gm_Effect_Side_Text_Content|编辑效果
PanelText_UI_Pvp_Panel_lineup_Show_Text_C_Point_02_Content|分
PanelText_Panel_Gm_Battle_Dbg_Entry_Text_C_Canel_Content|取消
PanelText_UI_Pvp_Panel_Settlement_Text_C_Point_01_Content|分
PanelText_Panel_Gm_PVP_Text_C_Canel_Content|取消
PanelText_UI_Pvp_Panel_Settlement_Text_C_Point_02_Content|分
PanelText_UI_Chapter_Spur_View_Text_C_Nightmare_Content|癫狂
PanelText_UI_Pvp_Item_Ranking_Text_C_Over_Content|~
PanelText_UI_Pvp_Panel_Out_Text_C_Integral_Content|赛季积分
PanelText_UI_Pvp_Popup_Tips_Text_C_Game1_Content|本周排行
PanelText_UI_Awaker_PanelStory_Main_Text_C_Story_Content|故事
PanelText_UI_Event_Activity_Main_Text_C_Select_2_Content|Ⅱ
PanelText_UI_Chapter_Spur_View_Text_C_Simple_Content|普通
PanelText_UI_Other_Physical_Tips_Text_C_Name_1_Content|取消
PanelText_UI_Passport_Money_Item_New_Text_C_Hoist_3_Content|级
PanelText_UI_Events_Item_Lake_City_Text_C_Diagonal_Content|/
PanelText_Panel_Gm_PVP_Text_C_Confirm_Content|确认
PanelText_UI_Event_Activity_Main_Text_C_Select_3_Content|Ⅲ
PanelText_UI_Events_Panel_Banquet_Text_C_Pv_Content|溯梦
PanelText_UI_Story_Portrait_Test_Text_C_Normal_Content|1
PanelText_UI_Awaker_Popup_Talent_Main_Text_C_Lv_Content|Lv.
PanelText_UI_Common_Item_Detail_Text_C_Close_Content|收起
PanelText_UI_Team_Item_Suit_Text_C_Current_Content|当前使用
PanelText_GmParamPanel_Text_C_Param_Content|配置
PanelText_UI_Pvp_Panel_lineup_Show_Text_C_Point_01_Content|分
PanelText_UI_Main_Panel_1_Text_C_Formation_EN_Content|Task
PanelText_UI_Other_Physical_Tips_Text_C_Name_2_Content|确定
PanelText_UI_Events_Panel_Main_Text_C_Pv_Content|播放影像
PanelText_UI_Events_Panel_Banquet_Text_C_Diagonal_Content|/
PanelText_UI_Event_Activity_DonationBox_Text_C_Max_Content|Max
PanelText_UI_Events_Item_Tab_Text_C_Return_Content|回归活动
PanelText_UI_Chapter_Spur_View_Text_C_Resonance_Content|共鸣
PanelText_Popup_Gm_Effect_Text_Confirm_Content|确认
PanelText_Popup_Gm_Effect_Text_Cancel_Content|关闭
PanelText_UI_Popup_DonationBox_Text_C_Reward_Content|物资
PanelText_UI_Event_Activity_Main_Text_C_Normal_2_Content|Ⅱ
PanelText_UI_Event_Activity_Main_Text_C_Normal_3_Content|Ⅲ
PanelText_UI_Events_Panel_Banquet_Text_C_Symbol_Content|)
PanelText_UI_Pvp_Panel_Main_1_Text_C_Award_Content|胜场奖励
PanelText_UI_Events_Panel_Banquet_Text_C_Max_Content|Max
PanelText_UI_Story_Portrait_Test_Text_C_Hide_Content|隐藏
PanelText_UI_Chapter_Spur_View_Text_C_Difficulty_Content|困难
PanelText_UI_Pvp_Panel_Main_1_Text_C_Ranking_Content|排行榜
PanelText_UI_Event_Activity_Main_Text_C_Select_1_Content|Ⅰ
PanelText_UI_Event_Activity_Main_Text_C_Normal_1_Content|Ⅰ
PanelText_UI_Event_Item_Return_Text_C_Finish_Content|已领取
PanelText_UI_Passport_Money_Item_New_Text_C_Hoist_2_Content|10
PanelText_UI_Pvp_Popup_Tips2_Text_C_OneKey_Content|一键领取
PanelText_UI_Story_Portrait_Test_Text_C_Vertical_Content|2
PanelText_UI_Dungeons_Panel_Try_Text_C_Name_1_Content|领取
PanelText_UI_Social_Item_Rank_Text_C_Attention_Content|关注
PanelText_UI_Social_Panel_RankList_Text_C_Rank_Content|排名
PanelText_UI_Chapter_Spur_View_Text_C_Remember_Content|溯梦
PanelText_UI_Events_Panel_TwentyFour_Text_C_Diagonal_Content|/
PanelText_UI_Social_Panel_Rank_Text_C_All_Content|全部
PanelText_UI_Other_Donate_Tips_Text_C_Consume_Content|消耗
PanelText_UI_Alchemy_Popup_Break_Down_Text_C_Add_Content|+
PanelText_UI_Chapter_Dream_View_Text_C_Remember_Content|溯梦
PanelText_UI_Chapter_Dream_View_Text_C_Simple_Content|普通
PanelText_UI_Pvp_Popup_Tips_Text_C_Small_Content|对弈头衔
PanelText_UI_Pvp_Popup_Tips2_Text_C_Title_Content|对弈纪录
PanelText_UI_Pvp_Popup_Tips_Text_C_Scope_Content|排名范围
PanelText_UI_Collection_Panel_Main_Text_C_Image_Content|影像
PanelText_UI_Events_Panel_TwentyFour_Text_C_Symbol_Content|)
PanelText_UI_Chapter_Vindicate_View_Text_C_Need_Content|需要
PanelText_UI_Other_Donate_Tips_Text_C_Utmost_Content|最大
PanelText_UI_Social_Panel_Rank_Text_C_Uid_Title_Content|UID :
PanelText_UI_Social_Panel_Rank_Text_C_En_Content|fdshsjfgjgf
PanelText_UI_Pvp_Popup_Tips_Text_C_Big_Content|守密人信息
PanelText_UI_Collection_Panel_Main_Text_C_Event_Content|事件
PanelText_UI_Dungeons_Item_AbyssRank_Text_C_Uid_Content|UID:
PanelText_UI_Events_Panel_TwentyFour_Text_C_Max_Content|Max
PanelText_UI_Events_Panel_Lily_Text_C_Diagonal_Content|/
PanelText_UI_Pvp_Popup_Tips_Text_C_Game2_Content|本周排行
PanelText_UI_Collection_Panel_Main_Text_C_Role_Content|角色
PanelText_UI_Social_Panel_Rank_Text_C_Friend_Content|关注
PanelText_UI_Chapter_Dream_View_Text_C_Nightmare_Content|癫狂
PanelText_UI_Pvp_Popup_Tips_Text_C_NoTask_Content|暂无记录
PanelText_UI_Awaker_Item_List_3_Text_C_Got_Content|已唤醒
PanelText_UI_Event_Activity_TwentyFour_Text_C_Max_Content|Max
PanelText_UI_Main_Panel_1_Text_C_Collection_Content|典藏馆
PanelText_UI_Pvp_Popup_Tips_Text_C_Grade_Content|排名
PanelText_UI_Pvp_Popup_Tips_Text_C_Award_Content|奖励
PanelText_UI_Main_Panel_1_Text_C_Close_1_Content|关闭中
PanelText_UI_Events_Panel_Thais_Text_C_Pv_Content|播放影像
PanelText_UI_Pvp_Popup_Tips_Text_C_Title_2_Content|对弈头衔
PanelText_UI_Pvp_Popup_Tips_Text_C_Reward_Content|积分
PanelText_UI_Events_Item_TwentyFour_Text_C_Diagonal_Content|/
PanelText_UI_Dungeons_Panel_Try_Text_C_Undone_Content|未完成
PanelText_UI_Other_Donate_Tips_Text_C_Least_Content|最小
PanelText_UI_Social_Panel_Rank_Text_C_Rank_Content|排名
PanelText_UI_Pvp_Popup_Tips_Text_C_En_Content|fdshsjfgjgf
PanelText_UI_Social_Item_Rank_Text_C_Uid_Content|UID:
PanelText_UI_Events_Panel_Lily_Text_C_Pv_Content|播放影像
PanelText_UI_Collection_Panel_Main_Text_C_Weapon_Content|命轮
PanelText_UI_Social_Popup_Awaker_Text_C_Owned_Content|已拥有
PanelText_UI_Alchemy_Popup_Break_Down_Text_C_Wait_Content|=
PanelText_UI_Events_Item_Sorel_Text_C_Fall_Content|掉落预览
PanelText_UI_Events_Item_Miriam_Text_C_Diagonal_Content|/
PanelText_Com_RedDot_Text_C_GroupNew_Content|新
PanelText_UI_Events_Panel_Horla_Text_C_Max_Content|Max
PanelText_UI_Pvp_Team_Main_Text_Name_Content|快速编队
PanelText_UI_Research_Panel_Dispatch_Text_Title_Content|派遣
PanelText_UI_Events_Item_Sorel_Text_C_Diagonal_Content|/
PanelText_UI_Social_Popup_PlayerHead_Text_C_Head_Content|头像
PanelText_UI_Social_Panel_Rank_Text_C_Separator_Content|/
PanelText_UI_Events_Panel_Miriam_Text_C_Symbol_Content|)
PanelText_UI_Event_Activity_Miriam_Text_C_Max_Content|Max
PanelText_UI_Dbgcopy_Popup_Vibes_Text_C_Suppress_Content|繁育
PanelText_UI_Event_Activity_Horla_Text_C_Max_Content|Max
PanelText_UI_Social_Panel_Rank_Text_C_Sign_Content|简介
PanelText_UI_Events_Panel_Sorel_Text_C_Pv_Content|播放影像
PanelText_UI_Dungeous_Item_Reward_Text_C_Present_Content|当前
PanelText_UI_Events_Panel_Horla_Text_C_Diagonal_Content|/
PanelText_UI_Events_Panel_Horla_Text_C_Symbol_Content|)
PanelText_UI_Events_Panel_Miriam_Text_C_Max_Content|Max
PanelText_UI_Team_Panel_Edit_Suit_Text_C_Save_Content|保存
PanelText_UI_Events_Item_SurveyDiary_Text_Name_Content|领取
PanelText_UI_Events_Panel_Miriam_Text_C_Diagonal_Content|/
PanelText_UI_Events_Item_Murphy_Text_C_Diagonal_Content|/
PanelText_UI_Mail_Text_Time_Content|去其他地方看看吧
PanelText_UI_Events_Item_Tawil_Text_C_Diagonal_Content|/
PanelText_UI_Events_Item_GiftBag_Text_C_High_Content|免费
PanelText_UI_Main_Favor_Tip_Text_C_Name_Content|同调率
PanelText_UI_Events_Panel_OriHelot_Text_C_Diagonal_Content|/
PanelText_UI_Events_Panel_Tawil_Text_C_Max_Content|Max
PanelText_UI_Events_Panel_Tawil_Text_C_Symbol_Content|)
PanelText_UI_Events_Panel_Tulu_Text_C_Diagonal_Content|/
PanelText_UI_Events_Panel_Tawil_Text_C_Shop_Content|回声
PanelText_UI_Events_Panel_Hamline_Text_C_Diagonal_Content|/
PanelText_UI_Events_Panel_Tulu_Text_C_Shop_Content|觉知海渊
PanelText_UI_Social_Popup_Match_Text_Title_Content|友谊赛
PanelText_UI_Pvp_Popup_PlaybackAngle_Text_C_Copy_Content|复制
PanelText_UI_Events_Panel_Ryker_Text_C_Pv_Content|播放影像
